TITULACION;CURSO;MATRICULADOS
4000-Grado en Historia;202223;287
4001-Grado en Geografia y Ordenacion del Territorio;202223;91
4002-Grado en Ciencias de la Actividad Fis. y del Dep.;202223;504
4003-Grado en Traduc. e Interpretacion: Ingles-Aleman;202223;156
4004-Grado en Traduc. e Interpretacion: Ingles-Frances;202223;245
4005-Grado en Administracion y Direccion de Empresas;202223;908
4006-Grado en Ciencias del Mar;202223;285
4007-Grado en Economia;202223;234
4008-Grado en Ingenieria Informatica;202223;667
4009-Grado en Lengua Espanola y Literaturas Hispanicas;202223;273
4010-Grado en Lenguas Modernas;202223;433
4011-Grado en Relaciones Laborales y Recursos Humanos;202223;381
4012-Grado en Seguridad y Control de Riesgos (No Pres.);202223;276
4013-Grado en Turismo (Gran Canaria);202223;471
4014-Grado en Fisioterapia;202223;279
4015-Grado en Derecho;202223;1387
4016-Grado en Educacion Infantil;202223;474
4017-Grado en Educacion Primaria;202223;900
4018-Grado en Educacion Social;202223;256
4019-Grado en Ingenieria Civil;202223;105
4020-Grado en Trabajo Social;202223;441
4021-Grado en Ingenieria Geomatica y Topografia;202223;NaN
4022-G.  Ing.  Diseno Industrial y Desarrollo Productos;202223;270
4023-Grado en Ingenieria Tecnica Industrial;202223;NaN
4024-Grado en Enfermeria (Gran Canaria);202223;584
4025-Grado en Veterinaria;202223;406
4026-Grado en Ingenieria Quimica;202223;134
4027-Grado en Ingenieria en Organizacion Industrial;202223;186
4028-Grado en Ingenieria en Tecnologia Naval;202223;95
4029-Grado en Medicina por la Universidad de Las Palmas;202223;852
4030-Grado en Enfermeria (Lanzarote);202223;184
4031-Grado en Enfermeria (Fuerteventura);202223;190
4032-Grado en Turismo (Lanzarote);202223;118
4033-Grado en Turismo  (No Presencial);202223;65
4034-Grado en Trabajo Social (No Presencial);202223;193
4035-Gr. en Rel. Laborales y Recursos Humanos (No Pres);202223;238
4036-Grado en Educacion Primaria (No Presencial);202223;784
4037-Gr. en Inge. en Tecnologias de la Telecomunicacion;202223;242
4039-Grado en Arquitectura;202223;396
4040-Grado en Ingenieria Electrica;202223;134
4041-Grado en Ingenieria Electronica Indus. y Automatic;202223;144
4042-Grado en Ingenieria Mecanica;202223;294
4043-Grado en Ingenieria Quimica Industrial;202223;64
4044-Grado en Ingenieria Geomatica;202223;18
4045-Grado en Ciencia e Ingenieria de Datos;202223;140
4046-Grado en Ingenieria Fisica y Matematica;202223;NaN
4100-Grado en Ingenieria Biomedica;202223;NaN
4800-Doble Grado en Ingles-Aleman e Ingles-Frances;202223;46
4801-Doble Grado en Ingenieria Informatica y A.D.E.;202223;25
4802-Doble Grado en A.D.E. y Derecho;202223;190
4803-Doble Grado en I.T. Telecomunicacion. y A.D.E.;202223;18
4804-Doble Grado en I.Organizacion Industrial y A.D.E;202223;28
4805-Doble Grado en Trad:Ingles-Aleman y Turismo;202223;56
4806-Doble Grado en A.D.E. y Turismo;202223;72
5000-Master Universitario en Cultivos Marinos;202223;NaN
5001-Master Universitario en Oceanografia;202223;NaN
5002-Master Universitario en Gestion Costera;202223;NaN
5003-Master Universitario en Banca y Finanzas;202223;NaN
5004-Master Universitario en Intervencion y Mediac;202223;NaN
5005-Master Universitario en Sistemas Inteligentes y Ap;202223;20
5006-Master U. en Procesos Educativos (No presencial);202223;NaN
5007-Master Universitario en Direccion y Planificacion;202223;NaN
5008-Master Universitario en Espanol y su Cultura: Desa;202223;3
5009-Master U. en Formacion del Profesorado de Educacio;202223;NaN
5010-Master Universitario en Clinica Veterinaria e Inve;202223;NaN
5011-Master Univ. Trad. Prof. y Mediacion Intercultural;202223;43
5012-Master U.Prevencion de Riesgos Labor(No presencial;202223;NaN
5013-Master Universitario en Cultivos Marinos;202223;13
5014-Master U. en Gestion Sostenible de Recursos Pesque;202223;8
5015-Master Universitario en Tecnologias de Telecomunic;202223;NaN
5016-Master Universitario en Arqueologia;202223;NaN
5020-Master Universitario en Sanidad Animal y Segurida;202223;15
5021-Master Universitario en Desarrollo Integral de Des;202223;NaN
5022-Master Universitario en Tecnologias Industriales;202223;NaN
5023-Master Universitario en Ingenieria de Telecomunica;202223;20
5024-Master Universitario en Soluciones TIC para Bienes;202223;4
5025-Master Universitario en Eficiencia Energetica;202223;NaN
5026-MU Innovacion en Diseno para el Sector Turistico;202223;NaN
5027-Master U en Economia del Turismo, del Transporte y;202223;10
5028-Master Univ. en Gestion del Patrimonio Artistico;202223;22
5029-Master Univ. en Relaciones Hispano Africanas;202223;29
5030-M.U. en Marketing y Comercio Internacional;202223;56
5031-M.U. Contabilidad, Auditoria y Fiscalidad Empresa;202223;16
5032-M.U. Patrimonio Historico, Cultural y Natural;202223;24
5033-M.U. en Economia y Politicas Publicas;202223;NaN
5034-MU Direccion de Empresas y Recursos Humanos;202223;29
5035-M.U. Mediacion Familiar y Sociocomunitaria;202223;NaN
5036-M.U. en Intervencion Familiar;202223;NaN
5037-M.U. en Bioetica y Bioderecho;202223;16
5038-M.U. Ingenieria Informatica;202223;NaN
5039-MU en Cultura Audiovisual y Literaria;202223;27
5040-MU en Ingenieria Industrial;202223;81
5041-Master Universitario en Abogacia;202223;146
5042-MU Arquitectura y Acondicionamiento con Tecnologia;202223;NaN
5043-MU en Desarrollo Integral de Destinos Turisticos;202223;NaN
5044-Master Universitario en Oceanografia;202223;24
5045-MU Formacion del Profesorado;202223;361
5046-MU Prevencion de Riesgos Laborales;202223;84
5047-MU Intervencion y Mediacion Familiar, Social y Com;202223;68
5048-MU Electronica y Telecomunicacion Aplicadas;202223;11
5049-MU Tecnologias y Procesos Industriales Avanzados;202223;15
5050-M.U. Aprendizaje integrado de contenidos en lengua;202223;22
5051-M.U. Ensenanza del Espanol y su Cultura;202223;33
5052-M.U. Erasmus Mundus en Islas y Sostenibilidad;202223;4
