TITULACION;CURSO;MATRICULADOS
4000-Grado en Historia;202122;275
4000-Grado en Historia;202021;260
4000-Grado en Historia;201920;248
4000-Grado en Historia;201819;253
4000-Grado en Historia;201718;244
4001-Grado en Geografia y Ordenacion del Territorio;202122;103
4001-Grado en Geografia y Ordenacion del Territorio;202021;97
4001-Grado en Geografia y Ordenacion del Territorio;201920;105
4001-Grado en Geografia y Ordenacion del Territorio;201819;108
4001-Grado en Geografia y Ordenacion del Territorio;201718;113
4002-Grado en Ciencias de la Actividad Fisica y del Deporte;202122;514
4002-Grado en Ciencias de la Actividad Fisica y del Deporte;202021;508
4002-Grado en Ciencias de la Actividad Fisica y del Deporte;201920;526
4002-Grado en Ciencias de la Actividad Fisica y del Deporte;201819;565
4002-Grado en Ciencias de la Actividad Fisica y del Deporte;201718;565
4003-Grado en Traduccion e Interpretacion: Ingles-Aleman;202122;171
4003-Grado en Traduccion e Interpretacion: Ingles-Aleman;202021;172
4003-Grado en Traduccion e Interpretacion: Ingles-Aleman;201920;192
4003-Grado en Traduccion e Interpretacion: Ingles-Aleman;201819;219
4003-Grado en Traduccion e Interpretacion: Ingles-Aleman;201718;235
4004-Grado en Traduccion e Interpretacion: Ingles-Frances;202122;256
4004-Grado en Traduccion e Interpretacion: Ingles-Frances;202021;253
4004-Grado en Traduccion e Interpretacion: Ingles-Frances;201920;251
4004-Grado en Traduccion e Interpretacion: Ingles-Frances;201819;282
4004-Grado en Traduccion e Interpretacion: Ingles-Frances;201718;282
4005-Grado en Administracion y Direccion de Empresas;202122;1002
4005-Grado en Administracion y Direccion de Empresas;202021;974
4005-Grado en Administracion y Direccion de Empresas;201920;990
4005-Grado en Administracion y Direccion de Empresas;201819;1130
4005-Grado en Administracion y Direccion de Empresas;201718;1271
4006-Grado en Ciencias del Mar;202122;276
4006-Grado en Ciencias del Mar;202021;278
4006-Grado en Ciencias del Mar;201920;265
4006-Grado en Ciencias del Mar;201819;235
4006-Grado en Ciencias del Mar;201718;270
4007-Grado en Economia;202122;254
4007-Grado en Economia;202021;272
4007-Grado en Economia;201920;273
4007-Grado en Economia;201819;280
4007-Grado en Economia;201718;295
4008-Grado en Ingenieria Informatica;202122;665
4008-Grado en Ingenieria Informatica;202021;643
4008-Grado en Ingenieria Informatica;201920;632
4008-Grado en Ingenieria Informatica;201819;609
4008-Grado en Ingenieria Informatica;201718;576
4009-Grado en Lengua Espanola y Literaturas Hispanicas;202122;307
4009-Grado en Lengua Espanola y Literaturas Hispanicas;202021;269
4009-Grado en Lengua Espanola y Literaturas Hispanicas;201920;307
4009-Grado en Lengua Espanola y Literaturas Hispanicas;201819;336
4009-Grado en Lengua Espanola y Literaturas Hispanicas;201718;353
4010-Grado en Lenguas Modernas;202122;465
4010-Grado en Lenguas Modernas;202021;465
4010-Grado en Lenguas Modernas;201920;446
4010-Grado en Lenguas Modernas;201819;460
4010-Grado en Lenguas Modernas;201718;453
4011-Grado en Relaciones Laborales y Recursos Humanos;202122;408
4011-Grado en Relaciones Laborales y Recursos Humanos;202021;496
4011-Grado en Relaciones Laborales y Recursos Humanos;201920;533
4011-Grado en Relaciones Laborales y Recursos Humanos;201819;510
4011-Grado en Relaciones Laborales y Recursos Humanos;201718;495
4012-Grado en Seguridad y Control de Riesgos (No Presencial);202122;284
4012-Grado en Seguridad y Control de Riesgos (No Presencial);202021;297
4012-Grado en Seguridad y Control de Riesgos (No Presencial);201920;267
4012-Grado en Seguridad y Control de Riesgos (No Presencial);201819;264
4012-Grado en Seguridad y Control de Riesgos (No Presencial);201718;291
4013-Grado en Turismo;202122;554
4013-Grado en Turismo;202021;588
