TiTULACION;CURSO;MATRICULADOS
4000-Grado en Historia;202324;310
4001-Grado en Geografia y Ordenacion del Territorio;202324;86
4002-Grado en Ciencias de la Actividad Fis. y del Dep.;202324;499
4003-Grado en Traduc. e Interpretacion: Ingles-Aleman;202324;168
4004-Grado en Traduc. e Interpretacion: Ingles-Frances;202324;250
4005-Grado en Administracion y Direccion de Empresas;202324;937
4006-Grado en Ciencias del Mar;202324;296
4007-Grado en Economia;202324;237
4008-Grado en Ingenieria Informatica;202324;690
4009-Grado en Lengua Espanola y Literaturas Hispanicas;202324;278
4010-Grado en Lenguas Modernas;202324;434
4011-Grado en Relaciones Laborales y Recursos Humanos;202324;384
4012-Grado en Seguridad y Control de Riesgos (No Pres.);202324;279
4013-Grado en Turismo (Gran Canaria);202324;427
4014-Grado en Fisioterapia;202324;248
4015-Grado en Derecho;202324;1344
4016-Grado en Educacion Infantil;202324;493
4017-Grado en Educacion Primaria;202324;895
4018-Grado en Educacion Social;202324;239
4019-Grado en Ingenieria Civil;202324;128
4020-Grado en Trabajo Social;202324;429
4021-Grado en Ingenieria Geomatica y Topografia;202324;NaN
4022-G.  Ing.  Diseno Industrial y Desarrollo Productos;202324;246
4023-Grado en Ingenieria Tecnica Industrial;202324;NaN
4024-Grado en Enfermeria (Gran Canaria);202324;589
4025-Grado en Veterinaria;202324;393
4026-Grado en Ingenieria Quimica;202324;144
4027-Grado en Ingenieria en Organizacion Industrial;202324;174
4028-Grado en Ingenieria en Tecnologia Naval;202324;112
4029-Grado en Medicina por la Universidad de Las Palmas;202324;855
4030-Grado en Enfermeria (Lanzarote);202324;168
4031-Grado en Enfermeria (Fuerteventura);202324;181
4032-Grado en Turismo (Lanzarote);202324;98
4033-Grado en Turismo  (No Presencial);202324;62
4034-Grado en Trabajo Social (No Presencial);202324;186
4035-Gr. en Rel. Laborales y Recursos Humanos (No Pres);202324;255
4036-Grado en Educacion Primaria (No Presencial);202324;833
4037-Gr. en Inge. en Tecnologias de la Telecomunicacion;202324;227
4039-Grado en Arquitectura;202324;454
4040-Grado en Ingenieria Electrica;202324;152
4041-Grado en Ingenieria Electronica Indus. y Automatic;202324;142
4042-Grado en Ingenieria Mecanica;202324;304
4043-Grado en Ingenieria Quimica Industrial;202324;61
4044-Grado en Ingenieria Geomatica;202324;12
4045-Grado en Ciencia e Ingenieria de Datos;202324;199
4046-Grado en Ingenieria Fisica y Matematica;202324;48
4100-Grado en Ingenieria Biomedica;202324;49
4800-Doble Grado en Ingles-Aleman e Ingles-Frances;202324;50
4801-Doble Grado en Ingenieria Informatica y A.D.E.;202324;16
4802-Doble Grado en A.D.E. y Derecho;202324;191
4803-Doble Grado en I.T. Telecomunicacion. y A.D.E.;202324;9
4804-Doble Grado en I.Organizacion Industrial y A.D.E;202324;33
4805-Doble Grado en Trad:Ingles-Aleman y Turismo;202324;61
